card_no,year,month,sales,transactions,items
10037.0,2010,1,133.57999999999998,5,26
10037.0,2010,2,166.99999999999994,5,44
10037.0,2010,3,178.74999999999994,8,42
10037.0,2010,4,117.63,7,35
10037.0,2010,5,37.809999999999995,3,11
10037.0,2010,6,200.53,11,58
10037.0,2010,7,174.33999999999995,7,45
10037.0,2010,8,47.170000000000016,8,76
10037.0,2010,9,-6.217248937900877e-15,3,34
10037.0,2010,10,2.1760371282653068e-14,4,44
10037.0,2010,11,1.5000000000000195,6,61
10037.0,2010,12,-1.092459456231154e-13,7,77
10037.0,2011,1,2.9900000000000824,5,62
10037.0,2011,2,4.1744385725905886e-14,6,57
10037.0,2011,3,3.599999999999976,6,62
10037.0,2011,4,-1.4210854715202004e-13,8,79
10037.0,2011,5,2.989999999999962,5,56
10037.0,2011,6,-2.220446049250313e-14,8,78
10037.0,2011,7,2.8699999999999415,11,102
10037.0,2011,8,-2.220446049250313e-13,9,97
10037.0,2011,9,0.8000000000000056,10,98
10037.0,2011,10,2.989999999999922,9,93
10037.0,2011,11,1.6653345369377348e-13,7,86
10037.0,2011,12,4.399999999999929,9,101
10037.0,2012,1,-1.9539925233402755e-13,11,110
10037.0,2012,2,18.290000000000035,13,148
10037.0,2012,3,17.190000000000015,11,120
10037.0,2012,4,3.790000000000049,12,128
10037.0,2012,5,8.79296635503124e-14,11,123
10037.0,2012,6,-1.1257661469699087e-13,13,133
10037.0,2012,7,0.9999999999998295,9,99
10037.0,2012,8,13.000000000000025,12,107
10037.0,2012,9,2.220446049250313e-15,8,83
10037.0,2012,10,4.574118861455645e-14,8,73
10037.0,2012,11,4.618527782440651e-14,7,84
10037.0,2012,12,9.769962616701378e-15,5,48
10037.0,2013,1,2.9100000000000437,14,132
10037.0,2013,2,2.659999999999984,10,99
10037.0,2013,3,0.1899999999999471,11,103
10037.0,2013,4,4.618527782440651e-14,9,76
10037.0,2013,5,-4.707345624410664e-14,11,89
10037.0,2013,6,35.14000000000004,13,116
10037.0,2013,7,5.329070518200751e-15,8,62
10037.0,2013,8,-2.220446049250313e-15,4,45
10037.0,2013,9,5.329070518200751e-15,2,21
10037.0,2013,10,-0.09999999999997122,12,124
10037.0,2013,11,11.990000000000062,9,87
10037.0,2013,12,14.650000000000038,10,100
10037.0,2014,1,226.5,9,38
10037.0,2014,2,202.83,8,32
10037.0,2014,3,192.09000000000006,7,33
10037.0,2014,4,270.3600000000001,8,46
10037.0,2014,5,230.10000000000002,8,58
10037.0,2014,6,278.9,11,44
10037.0,2014,7,166.84,10,32
10037.0,2014,8,154.05000000000007,8,35
10037.0,2014,9,38.37,3,13
10037.0,2014,10,20.32,2,7
10037.0,2014,11,49.080000000000005,2,12
10037.0,2014,12,23.78,1,7
10037.0,2015,7,146.39000000000001,3,49
10037.0,2015,8,70.46000000000001,1,26
10037.0,2015,9,55.88000000000001,1,19
10037.0,2015,10,217.33000000000007,4,72
10037.0,2015,11,158.33999999999997,4,40
10037.0,2015,12,67.61000000000001,1,17
10037.0,2016,1,22.22,1,9
10037.0,2016,5,206.14000000000013,26,75
10037.0,2016,6,308.4400000000001,41,110
10037.0,2016,7,67.73,7,24
10065.0,2010,3,35.400000000000006,1,10
10065.0,2010,5,67.42999999999999,2,19
10065.0,2010,12,4.440892098500626e-16,1,11
10065.0,2011,5,-3.1086244689504383e-15,1,12
10065.0,2014,1,11.78,1,3
10065.0,2014,2,35.54,1,10
10065.0,2014,6,44.3,1,12
10065.0,2014,7,76.59,2,15
10065.0,2015,5,57.230000000000004,1,9
10065.0,2015,8,155.7199999999999,5,33
10065.0,2015,9,75.39000000000001,3,18
10065.0,2016,2,23.85,1,7
10065.0,2016,3,15.67,1,3
10065.0,2016,4,30.55,1,4
10065.0,2016,10,3.18,1,1
10071.0,2010,1,1143.6500000000012,10,243
10071.0,2010,2,1935.0400000000031,18,302
10071.0,2010,3,1844.1100000000013,20,336
10071.0,2010,4,1259.3900000000006,14,271
10071.0,2010,5,1323.970000000002,17,323
10071.0,2010,6,1576.470000000004,15,319
10071.0,2010,7,834.4400000000007,13,179
10071.0,2010,8,164.4100000000003,7,124
10071.0,2010,9,93.53999999999989,12,254
10071.0,2010,10,123.76999999999973,8,204
10071.0,2010,11,99.97000000000237,14,372
10071.0,2010,12,0.2900000000004672,15,284
10071.0,2011,1,60.89999999999909,12,262
10071.0,2011,2,23.290000000000358,9,263
10071.0,2011,3,30.69000000000056,9,263
10071.0,2011,4,231.56000000000108,13,322
10071.0,2011,5,89.89000000000021,16,272
10071.0,2011,6,628.3399999999999,16,202
10071.0,2011,7,29.41000000000058,17,284
10071.0,2011,8,66.40000000000019,11,216
10071.0,2011,9,2.9899999999999007,8,145
10071.0,2011,10,44.07999999999961,9,237
10071.0,2011,11,14.800000000001265,11,281
10071.0,2011,12,11.14000000000073,14,296
10071.0,2012,1,2.5699999999996326,7,163
10071.0,2012,2,0.5899999999997529,10,176
10071.0,2012,3,35.86999999999947,11,245
10071.0,2012,4,4.439999999999248,10,253
10071.0,2012,5,6.589999999999961,6,190
10071.0,2012,6,6.2300000000006825,11,338
10071.0,2012,7,3.679999999999996,6,164
10071.0,2012,8,86.3499999999998,12,228
10071.0,2012,9,11.439999999999966,7,226
10071.0,2012,10,5.89000000000008,8,221
10071.0,2012,11,2.4700000000000646,9,227
10071.0,2012,12,9.48000000000033,7,214
10071.0,2013,1,9.200000000000038,9,176
10071.0,2013,2,3.109999999999106,7,214
10071.0,2013,3,7.430000000000273,6,205
10071.0,2013,4,22.630000000000262,8,155
10071.0,2013,5,5.830000000000306,8,194
10071.0,2013,6,-2.993161274389422e-13,8,157
10071.0,2013,7,66.84000000000022,10,280
10071.0,2013,8,7.499999999999572,7,218
10071.0,2013,9,4.289999999999937,8,204
10071.0,2013,10,8.760000000000339,12,301
10071.0,2013,11,36.479999999999826,16,268
10071.0,2013,12,-5.1514348342607263e-14,6,138
10071.0,2014,1,653.19,8,203
10071.0,2014,2,682.5200000000007,5,123
10071.0,2014,3,404.22000000000014,5,87
10071.0,2014,4,236.29000000000008,5,54
10071.0,2014,5,456.14000000000027,3,111
10071.0,2014,6,337.8800000000001,3,73
10071.0,2014,7,133.41999999999996,3,29
10071.0,2014,8,299.74000000000007,4,55
10071.0,2014,9,51.800000000000004,1,11
10071.0,2014,11,228.33000000000007,4,48
10071.0,2014,12,173.88000000000002,1,28
10071.0,2015,1,34.88,1,10
10071.0,2015,4,98.69999999999997,1,26
10071.0,2015,5,262.3600000000002,1,58
10071.0,2015,8,134.23,1,32
10071.0,2015,11,76.61,2,15
10071.0,2015,12,429.0600000000002,7,76
10071.0,2016,1,9.29,1,1
10071.0,2016,3,496.2500000000003,3,89
10071.0,2016,4,180.60000000000008,1,37
10071.0,2016,5,377.93000000000006,2,98
10071.0,2016,6,269.64000000000004,1,54
10071.0,2016,7,599.4100000000005,5,144
10071.0,2016,8,55.150000000000006,1,13
10071.0,2016,10,106.88999999999999,1,19
10071.0,2016,11,410.79000000000013,1,74
10071.0,2016,12,428.9000000000003,3,73
10071.0,2017,1,69.33999999999999,1,21
10104.0,2013,7,19.999999999999996,2,25
10104.0,2013,8,0.10000000000000941,2,37
10104.0,2013,9,7.9900000000000055,2,19
10104.0,2013,10,5.439999999999867,2,71
10104.0,2013,11,2.030000000000026,1,35
10104.0,2014,1,39.800000000000004,1,13
10104.0,2014,2,90.81999999999998,2,29
10104.0,2014,4,144.04999999999998,2,31
10104.0,2014,5,125.58999999999997,1,35
10104.0,2014,9,30.54,1,7
10104.0,2014,12,31.540000000000006,1,6
10104.0,2016,9,11.48,1,2
10104.0,2017,1,7.18,1,2
10110.0,2010,3,58.019999999999996,2,18
10110.0,2010,4,165.26000000000005,4,36
10110.0,2010,5,76.57999999999998,2,18
10110.0,2010,6,10.450000000000001,1,3
10110.0,2010,7,21.729999999999997,1,7
10110.0,2010,8,3.26,1,10
10110.0,2010,10,-2.6645352591003757e-15,1,7
10110.0,2013,12,1.7763568394002505e-15,1,13
10110.0,2014,2,52.97,1,8
10110.0,2016,7,25.85,2,5
10145.0,2010,10,1.000000000000007,2,30
10145.0,2010,11,1.000000000000011,2,40
10145.0,2010,12,8.579999999999975,4,58
10145.0,2011,1,4.449999999999855,5,97
10145.0,2011,2,-1.4299672557172016e-13,5,88
10145.0,2011,3,1.7000000000000717,3,59
10145.0,2011,4,0.16999999999981785,4,100
10145.0,2011,5,2.6201263381153694e-14,4,74
10145.0,2011,6,0.20999999999985874,3,79
10145.0,2011,7,1.2434497875801753e-14,1,24
10145.0,2011,8,1.3000000000000127,1,27
10145.0,2011,9,1.0658141036401503e-14,1,30
10145.0,2011,10,-3.042011087472929e-14,3,52
10145.0,2011,11,7.105427357601002e-15,1,28
10145.0,2011,12,9.769962616701378e-15,1,43
10145.0,2012,2,8.881784197001252e-16,1,20
10145.0,2012,4,0.0,1,13
10145.0,2012,5,2.020605904817785e-14,1,28
10145.0,2012,7,0.6000000000000068,1,28
10145.0,2012,10,0.21000000000000485,1,31
10145.0,2013,1,25.299999999999997,4,196
10145.0,2013,2,5.429999999999911,2,116
10145.0,2013,3,-1.2434497875801753e-14,1,21
10145.0,2013,4,6.000000000000032,2,92
10145.0,2013,5,24.140000000000008,4,132
10145.0,2013,6,0.5999999999999988,2,39
10145.0,2013,7,0.6099999999999894,2,46
10145.0,2013,8,2.4599999999999227,2,47
10145.0,2013,9,-8.881784197001252e-15,1,17
10145.0,2013,10,1.0658141036401503e-14,1,26
10145.0,2014,1,89.40999999999998,1,18
10145.0,2014,5,162.78,1,26
10145.0,2014,9,144.78999999999996,1,28
10145.0,2014,10,132.14999999999998,2,23
10145.0,2014,11,167.06999999999996,3,31
10145.0,2014,12,102.62999999999998,1,24
10145.0,2015,1,119.29,2,24
10145.0,2015,8,129.67999999999998,3,37
10145.0,2015,12,131.78999999999996,2,20
10145.0,2016,6,179.11,1,58
10145.0,2016,7,117.09999999999994,1,40
10298.0,2010,6,44.84,2,13
10298.0,2010,7,114.33999999999997,4,38
10298.0,2010,8,0.6100000000000092,5,61
10298.0,2010,9,3.0000000000000018,3,49
10298.0,2010,10,7.100000000000005,4,50
10298.0,2010,11,11.509999999999868,5,80
10298.0,2010,12,3.8899999999998225,4,79
10298.0,2011,1,15.979999999999835,5,90
10298.0,2011,2,12.479999999999915,4,84
10298.0,2011,3,4.249999999999995,4,48
10298.0,2011,4,15.989999999999963,5,79
10298.0,2011,5,-1.0658141036401503e-14,7,85
10298.0,2011,6,5.329070518200751e-15,2,22
10298.0,2011,7,-1.84297022087776e-14,2,42
